deal_title,investor_company,investor_role,investment_amount_usd
Cohere Health — Later Stage VC (2025-05),"Alexander Capital Ventures, Deerfield Management, Define Ventures, Flare Capital Partners, Longitude Capital, Polaris Partners, Temasek Holdings",PARTICIPANT,
PAQ Therapeutics — Later Stage VC (2025-05),"Bayland Capital, BioTrack Capital, C2I Accelerator, Huagai Capital, Johnson & Johnson Innovation - JLABS, LAV Fund, MPCi, MRL Ventures Fund, MSA Capital, Nest.Bio Labs, Sherpa Healthcare Partners",PARTICIPANT,
Outcomes4Me — Later Stage VC (2025-05),"Asset Management Ventures, Forecast Labs, IRA Capital, Labcorp Venture Fund, Merstal, National Cancer Institute, Northpond Ventures, Salica Investments, Sierra Ventures",PARTICIPANT,
Oar Health — Early Stage VC (2025-05),IAC,PARTICIPANT,
Spire Orthopedic Partners — Debt - Acquisition (2025-05),Kohlberg & Company,PARTICIPANT,
Cny Fertility — PE Growth/Expansion (2025-05),Sand Oak Capital Partners,PARTICIPANT,
Epicore Biosystems — Later Stage VC (2025-05),"Alumni Ventures, Beta Lab, Chevron Technology Ventures, Denka Company, Joyance Partners, Milkbox Partners, Mobile World Congress, NextFlex (America's Flexible Hybrid Electronics (FHE) Manufacturing Institute), Northwestern University, Pegasus Tech Ventures, Phoenix Investment Club (San Francisco), Reform Ventures, Steele Foundation for Hope",PARTICIPANT,
MD Esthetics — PE Growth/Expansion (2025-05),New Harbor Capital,PARTICIPANT,
Protocol (New York) — Early Stage VC (2025-05),Juxtapose,PARTICIPANT,
QCDx — Debt - General (2025-05),"Accelerator for Biosciences in Connecticut, Connecticut Innovations, University of Connecticut Technology Incubation Program",PARTICIPANT,
UberDoc — Reverse Merger (2025-05),"Bioverge Ventures, CharmHealth, Exela Technologies, Global Health Impact Fund, TiE Women",PARTICIPANT,
Blooming Health — Early Stage VC (2025-04),"Afore Capital, Bullock Capital, Comeback Capital, Crossbeam Venture Partners, Evan Moore, Forum Ventures, Insight Partners (New York), Metrodora Ventures, Right Side Capital Management, Shift Left Ventures, Stone Mountain Ventures (Texas), WBL Fellows Program",PARTICIPANT,
Connie Health — Later Stage VC (2025-04),"Abstract Ventures, aMoon Fund, Arkitekt Ventures, Assaf Wand, at.inc/, Dynamic Loop Capital, Flybridge (New York), HealthQuest Capital, JSL Health Capital, J-Ventures, Khosla Ventures, Nathaniel Turner, Pitango Venture Capital, The Graduate Syndicate, Zachary Weinberg",PARTICIPANT,
Manifold — Later Stage VC (2025-04),"Amar Kendale, Andrew Bialecki, Brad Porter, Calibrate Ventures, Jon Karlen, Pravin Soni, Reach Capital, Sachin Jain, SK Ventures, Stephen Fredette, TQ Ventures, TTCER Partners, Western Technology Investment",PARTICIPANT,
Ascertain — Early Stage VC (2025-04),"Aegis Ventures, Deerfield Management, Northwell Health",PARTICIPANT,
Sensorum Health — Seed Round (2025-04),"Brighton Health Partners, GV, Innospark Ventures, Operator Partners, Wavemaker Three-Sixty Health",PARTICIPANT,
Chapter Medicare — Later Stage VC (2025-04),"Addition, Cendana Capital, Core Innovation Capital, Health2047 Capital Partners, Kivu Ventures, Maverick Ventures, Narya, Peter Thiel, Stripes, Susa Ventures, Techstars, XYZ Venture Capital",PARTICIPANT,
Form Health — Later Stage VC (2025-04),"Bridge Ventures (Chicago), HSBC Holdings, M13, NextView Ventures, Real Tech Capital, SignalFire, Sound Ventures, Wittington Ventures",PARTICIPANT,
Ivy Rehab Network — Debt - Acquisition (2025-04),"ACE & Company (Geneva), Audax Private Debt",PARTICIPANT,
Olaris — Later Stage VC (2025-04),"Alumni Ventures, Harvard Innovation Launch Lab, Innospark Ventures, Labcorp Venture Fund, Massachusetts Life Sciences Center, Next Act Fund, Northpoint Capital Group, Robert Carpenter, U.S. Boston Growth Capital",PARTICIPANT,
Rondah — Seed Round (2025-04),"2048 Ventures, Techstars, Twelve Below, YSpace (Toronto)",PARTICIPANT,
Commonwealth Care Alliance — Merger/Acquisition (2025-04),Mass.Gov,PARTICIPANT,
DeepLook Medical — Later Stage VC (2025-04),"AgeTech Collaborative, Angel Investor Forum, AZ Venture Capital, Boston Harbor Angels, Citrine Angels, Connecticut Innovations, East Post Road Ventures, Femovate, HITLAB Innovators, MassMEDIC, NW Angel, OKG Capital, Tech4Eva, Tidal River Women's Investor Group, Well4Tech, Werth Ventures, Xcellerant Ventures",PARTICIPANT,
ThinkMD — Later Stage VC (2025-04),"CH Innovations, DAI (Real Estate Services), Development Innovation Ventures, FHI Ventures, FreshTracks Capital, LaunchVT, MassChallenge, Save the Children Impact Fund, Social Venture Circle, Sorenson Impact Foundation, VCET Capital, Village Capital",PARTICIPANT,
Medrhythms — Mezzanine (2025-04),"Advantage Capital, Bose Ventures, CEI Ventures, Global Brain, Harvard Innovation Launch Lab, Jean Hoffman, JGC Holdings, Joe Migliaccio, Maine Technology Institute, Maine Venture Fund, Morningside Group, Peter Werth, Werth Ventures",PARTICIPANT,
Abax Health — PE Growth/Expansion (2025-04),Ansley Capital Group,PARTICIPANT,
Constitution Surgery Alliance — Buyout/LBO (2025-04),"Welsh, Carson, Anderson & Stowe",PARTICIPANT,
Highbar — Debt - General (2025-04),Rallyday Partners,PARTICIPANT,
Jayla — Early Stage VC (2025-04),"Halcyon Incubator, Right Side Capital Management, Visible Hands",PARTICIPANT,
Noom — Later Stage VC (2025-04),"1435 Capital Management, Activate Venture Partners, ADIT Ventures, Aglaé Ventures, Anchor Capital GP, ARCH Venture Partners, Arrive Opportunities Management, Atinum Investment, Brian McClendon, Bristol-Myers Squibb, Cameleon Invest, CAVU Consumer Partners, D3 Jubilee Partners, Financière Agache, GoldenArc, Han-Sing Hi-Tech Fund, Harbor Pacific Capital, IMM Investment, InterVest, Jan Koum, Jay Eum, Joshua Kushner, KB Investment, Kleiner Perkins, LaunchTime, LB Investment, m8 Capital, Mashup Ventures, Monashee Investment Management, National Institute of Diabetes and Digestive and Kidney Diseases, National Institute of Mental Health, National Institutes of Health, New York Digital Health Innovation Lab, Novo Holdings, Oak HC/FT, Passive Impact, Primary Venture Partners, Private Ventures Group, Qualcomm Ventures, Realization Capital Partners, Recruit Strategic Partners, Rocana Ventures Partners, RRE Ventures, Sabrina Hahn, Scooter Braun, Scrum Ventures, Sequoia Capital, Serena Ventures, Shinhan Venture Investment, Silver Lake, Spark Capital, Sung Cho, Temasek Holdings, Tony Xu, TQ Ventures, TransLink Capital, Trinitas Capital (Beijing), U.S. Department of Health and Human Services",PARTICIPANT,
RhythmScience — Later Stage VC (2025-04),"Cedars Sinai Health Ventures, Matter (Consulting Services (B2B)), OCA Ventures, Press On Ventures, TenOneTen Ventures",PARTICIPANT,
Variantyx — Later Stage VC (2025-04),"20/20 HealthCare Partners, Bosch Ventures, GHS Investment Management (Canada) Company, IBM Ventures, New Era Capital Partners, Peregrine Systems, Peregrine Ventures, Pitango Venture Capital, Ramot at Tel Aviv University, Soleus Capital",PARTICIPANT,
Zaya Care — Later Stage VC (2025-04),"Brooklyn Bridge Ventures, Celtic House Asia Partners, Coalition Operators, FullCircle (New York), Inspired Capital (New York), nvp capital, Operator Partners, Squad Capital, Story Ventures, Tiger Global Management",PARTICIPANT,
Zealthy — Seed Round (2025-04),"Ground Up Ventures, Perceptive Ventures",PARTICIPANT,
Cardiovascular Associates of America — Debt - General (2025-03),"Deerfield Management, MedEquity Capital, Webster Equity Partners",PARTICIPANT,
Danforth Advisors — Debt - General (2025-03),"Avesi Partners, Harris Preston & Partners",PARTICIPANT,
Embr Labs — Later Stage VC (2025-03),"AARP Innovation Labs, AgeTech Collaborative, Andrew Nealon, Bose Ventures, Corundum Neuroscience, DigiTx Partners, Esplanade Healthtech Ventures, Ghost Tree Partners, Intel Capital, Joyance Partners, MADMEC, Massachusetts Institute of Technology Endowment, MassChallenge, MassMEDIC, MIT Delta V, PBJ Capital, Safar Partners, SideCar Angels, Tech4Eva, Totipotent Capital, U. S. National Science Foundation, United States Department of War, Wealthing VC Club",PARTICIPANT,
QSM Diagnostics — Later Stage VC (2025-03),"Bantam Group, Beacon Angels, Bolt (VC), Boro Capital, Creative Destruction Lab, Endless Frontier Labs, Executive Forum Angels, IDEA (Boston), Maroon Venture Partners, MassChallenge, MassVentures, North Andover Investor Collaborative II, Northeastern University, Pet Care Innovation, Princeton Alumni Angels, SoundBoard Venture Fund, TripleRing, U. S. National Science Foundation",PARTICIPANT,
Tembo Health — Later Stage VC (2025-03),"AARP Innovation Labs, AgeTech Collaborative, Alumni Ventures, Amplifyher Ventures, AQAL Capital, B Capital Group, Basecamp Fund, Bloomberg Beta, City Light Capital, Emerson Collective, Entrepreneurs Roundtable Accelerator, Founders Committee, Gaingels, HDS Capital, Headwater Ventures, Healthworx Accelerator, Hilltop Venture Partners, Humana, K50 Ventures, Kairos Ventures, Katie Shea, Maccabee Ventures, MassChallenge, MBX Capital, Michael Chow, New York Angels, Oceans Ventures, Primetime Partners, Recharge Capital, Remarkable Ventures, Resolute Ventures, Singularity Capital, The MITRE (Bedford), Third Act Ventures, United Healthcare Accelerator, VITALIZE Venture Capital",PARTICIPANT,
ZBS Alliance Animal Health — PE Growth/Expansion (2025-03),"Balance Point Capital, L Catterton, LightBay Capital, Partners Group",PARTICIPANT,
Anumana — Later Stage VC (2025-03),"Boston Scientific, Matrix, Matrix Capital Management, Mayo Clinic, Mayo Clinic Ventures, MedTech Innovator, nference, NTTVC",PARTICIPANT,
Oxbridge Clinical — Seed Round (2025-03),"Accelerate Cambridge, BioTools Innovator",PARTICIPANT,
Navina — Later Stage VC (2025-03),"ALIVE Israel Healthtech Fund, ELQ Investors VIII, Florida-Israel Business Accelerator, Goldman Sachs Growth Equity, Grove Ventures, JSL Health Capital, Schusterman Family Investments, Vertex Ventures Israel",PARTICIPANT,
Silna — Early Stage VC (2025-03),"Accel, Bain Capital Ventures, The Astro Group, Thiel Foundation, Upstream VC",PARTICIPANT,
Luminopia — Later Stage VC (2025-03),"Bantam Group, Boston Children's Hospital, Broadfin Advisors, Collaborative Fund, Good Friends, Harvard Innovation Launch Lab, Innovation & Digital Health Accelerator, Koa Labs, MassChallenge, Neoteny, NXT Ventures, Robert Langer, Sesame Ventures, ShangBay Capital, Sony Innovation Fund, SSI Strategy, The Vertical Group, U.S. Venture Partners",PARTICIPANT,
Dynocardia — Later Stage VC (2025-03),"Garage+, Massachusetts Technology Collaborative, MassMEDIC, Mayo Clinic Platform, National Institutes of Health, NextCorps Luminate, Small Business Innovation Research and Small Business Technology Transfer Programs, Tufts University, U. S. National Science Foundation",PARTICIPANT,
Litesport — Later Stage VC (2025-03),"B. Riley Venture Capital, Camros Capital, Eastward Capital Partners, Nimble Ventures, Raptor Group, Timothy Mosley, Will Ventures",PARTICIPANT,
Quit With Jones — Early Stage VC (2025-03),"Capstar Ventures, Dan Rosenthal, Dorm Room Fund, Founder Collective, Foundry (Financial Services), Foundry Group, GC Venture Fellows, Good Friends, Marguerite Mariscal, NextView Ventures, NYU Entrepreneurial Institute, NYU Summer Launchpad, Palm Tree Crew Investments",PARTICIPANT,
QMB (Healthcare Services) — Seed Round (2025-03),C10 Labs,PARTICIPANT,
CoachCare — PE Growth/Expansion (2025-03),"Catalyst Investors, Everberg Capital, Integrity Growth Partners, Kli Capital, Longmont Capital, Topmark Partners",PARTICIPANT,
PursueCare — Later Stage VC (2025-03),"Advection Growth Capital, Connecticut Innovations, Digital (US), OCA Ventures, Seyen Capital, Starboard Capital Partners, T.Rx Capital, WRD Capital, Yamaha Motor Ventures",PARTICIPANT,
Genomate Health — Early Stage VC (2025-03),"Accessio Equity Group, Mayo Clinic Platform, Oktogon Ventures, Plug and Play Tech Center, STRT Holding",PARTICIPANT,
Reverence — Seed Round (2025-03),"City Light Capital, Company Ventures, Target Global",PARTICIPANT,
Kibu — Seed Round (2025-03),"AJI Capital, Connecticut Innovations, GreyMatter (US), IU Ventures",PARTICIPANT,
Ophelia — Later Stage VC (2025-03),"Elliott Cohen, Flatiron, Four Acres Capital, General Catalyst, Good Friends, Impact Assets, Interplay Ventures, Knickerbocker Financial Group, Menlo Ventures, Operator Partners, Refactor Capital, Tiger Global Management, Warby Parker, Y Combinator",PARTICIPANT,
Click Therapeutics — Later Stage VC (2025-03),"Accelmed, Dassault Systemes, H.I.G. HealthBridge Partners, Health Catalyst Capital Management, Hercules Capital (San Mateo), Hikma Ventures, K2 HealthVentures, Magellan Health, Maria Forero, Otsuka Pharmaceutical, Philip Toub, Revelation Partners, Ridgetop Health, Sanofi Ventures, SharesPost, Vivek Baliga",PARTICIPANT,
Salvo Health — Seed Round (2025-03),"Alumni Ventures, Anmol Madan, City Light Capital, Felicis, Human Ventures, Manifestations Capital, StartUp Health, The Artemis Fund, Threshold Ventures, Torch Capital",PARTICIPANT,
MediSpend — Debt - Acquisition (2025-03),Susquehanna Growth Equity,PARTICIPANT,
BioWave — Later Stage VC (2025-03),"Connecticut Innovations, NorthStar Pain Management",PARTICIPANT,
Aescape — Later Stage VC (2025-03),"10X Capital, Adam Chandler, Adventure Fund, Alex Trojanow, AlleyCorp, Allstar Capital Group, Alumni Ventures, Amazon Robotics, Anand Agarawala, Andrew Strocko, Anik Nagpal, Benjamin Barokas, Bill Wise, Bobby Figueroa, Bradley Horowitz, Bradly Feld, BroadLight Capital, Christian Smith, Click Ventures (New York), Crosslink Capital, Dan Foehner, Dani Alyamour, David Karp, David Watson, Dmitry Gilot, Eric Newnham, Eswar Priyadarshan, Farhan Thawar, Feld Ventures, Fifth Wall, Flatiron Search Partners, Fred Hsu, Gaingels, Gambit Ventures, Gerardo Ragusa, Greg Tagaris, Half Court Ventures, Harry Dewhirst, Henry Hyder-Smith, ICLUB, James Gellas, James Payne, Javon Bea, John Heffner, John Lemak, Joshua Schachter, Judy Halby, Julian Baring, Karthik Ramakrishnan, Kawn Ventures, Keith Angell, Keith Petri, Kevin Love, Lachlan Parker, Lachlan Power, Leland Hensch, Leonid Gluzman, Lev Ekster, LoftyInc Capital Management, Lori Anne Wardi, Lori Bush, Mark Gorton, Martin Ringlein, Matthew Dellavedova, Matthew McGowan, Megan Pagliuca, Melissa Grady, Michael Bayle, Michael Calabrese, Michelle Surya, Neil Parikh, Nicholas Pilkington, Peter Wurman, Philipp Berner, Pritesh Kot, PV Seed Fund, Rachel Beider, Raghu Balasa, Rahul Talwar, Raj Madhvan, Richard Zwicky, Robert Figueroa, Robert May, Rose Steinberg, Ryan Scottt, Samer Bishay, Sandra Finklestein, Sara Laprade, Scott Miller, Sebastian De Kloet, Sebastian Sobczak, Seth Levine, Shaker Muasher, Sheetal Jaitly, Shiven Ramji, Spacecadet Ventures, Steven Blatt, Stuart Sherman, SVB Financial Group, TA Ventures, Thomas Lee, Todd Earwood, Tom Chi, Tom Lee, Tristan Saw, Valor Equity Partners, Vitaliy Gubskiy, Wolfgang Allisat, Yony Feng",PARTICIPANT,
Bluebird Kids Health — Early Stage VC (2025-03),".406 Ventures, AIF, F-Prime Capital, Juxtapose, Oxeon Partners",PARTICIPANT,
Crosswalk Health — Early Stage VC (2025-03),LRVHealth,PARTICIPANT,
DynamiCare Health — Later Stage VC (2025-03),"Brown Angel Group, Early Light Ventures, Halcyon Venture Partners, Harvard Business School, Hopelab, Hyperplane Venture Capital, Impellent Ventures, MassChallenge, National Institute on Drug Abuse (NIDA), Ohio Department of Development, Patrick Kennedy, Phoenix Investment Club (San Francisco), The MBA Fund, Toyota Ventures, U.S. Department of Health and Human Services, United States Department of Agriculture",PARTICIPANT,
Laguna Health — Later Stage VC (2025-03),"Arkin Capital, Assaf Wand, Avishag Bohbot, HC9 Ventures, Joshua Riff, LionBird, Mercer Ventures (New York), Pitango Venture Capital, R-Squared Ventures, SemperVirens Venture Capital, UCSF Rosenman Institute, United Healthcare Accelerator",PARTICIPANT,
PerkinElmer — Debt - General (2025-03),"Ares Management, New Mountain Capital",PARTICIPANT,
RethinkFirst — Secondary Transaction - Private (2025-03),K1 Investment Management,PARTICIPANT,
Somethings — Seed Round (2025-02),"Coalition Operators, Gaingels, General Catalyst, Headstream, Jackson Jhin, Joshua Browder, Justin Mateen, Mana Ventures, MVP Ventures, One Mind, Plug and Play Tech Center, Tau Ventures, Toyin Ajayi",PARTICIPANT,
